Index,Date,Time,Type,B/S,Strike,Qty,Price,Event,EMA9,EMA21,Spot_High,Spot_Low,P/L,Exit_Reason
1,2026-02-20,09:23:00,PE,Buy,82500,100,504.75,ENTRY,82472.5162836736,82475.49088728629,82522.08,82457.81,,
1.1,2026-02-20,09:25:00,PE,Sell,82500,100,571.5,EXIT,82428.1604215511,82453.87751015396,82387.37,82325.13,6675.0,Target Hit
2,2026-02-20,09:25:00,PE,Buy,82300,100,479.5,ENTRY,82428.1604215511,82453.87751015396,82387.37,82325.13,,
2.1,2026-02-20,09:29:00,PE,Sell,82300,100,548.25,EXIT,82350.60156466735,82406.10041879243,82312.47,82227.78,6875.0,Target Hit
3,2026-02-20,09:29:00,PE,Buy,82200,100,506.1,ENTRY,82350.60156466735,82406.10041879243,82312.47,82227.78,,
3.1,2026-02-20,09:30:00,PE,Sell,82200,100,421.05,EXIT,82350.25525173389,82400.89765344765,82348.87,82227.52,-8505.000000000002,Stop Loss Hit
4,2026-02-20,09:31:00,PE,Buy,82300,100,498.6,ENTRY,82341.09820138711,82392.13150313422,82368.35,82304.47,,
4.1,2026-02-20,09:32:00,PE,Sell,82300,100,452.0,EXIT,82346.7785611097,82390.07409375839,82369.5,82300.24,-4660.000000000002,Stop Loss Hit
5,2026-02-20,09:39:00,CE,Buy,82500,100,565.4,ENTRY,82457.51287904287,82437.14429345612,82484.42,82463.86,,
5.1,2026-02-20,09:48:00,CE,Sell,82500,100,655.7,EXIT,82539.00042069188,82493.74287905311,82618.36,82571.82,9030.000000000007,Target Hit
6,2026-02-20,09:48:00,CE,Buy,82600,100,597.9,ENTRY,82539.00042069188,82493.74287905311,82618.36,82571.82,,
6.1,2026-02-20,10:09:00,CE,Sell,82600,100,560.15,EXIT,82583.86034573572,82587.681922789,82544.82,82502.68,-3775.0,Opposite Signal
7,2026-02-20,10:09:00,PE,Buy,82500,100,502.65,ENTRY,82583.86034573572,82587.681922789,82544.82,82502.68,,
7.1,2026-02-20,10:16:00,PE,Sell,82500,100,462.6,EXIT,82595.28920965803,82589.85747775447,82659.24,82599.79,-4004.9999999999955,Opposite Signal
8,2026-02-20,10:16:00,CE,Buy,82700,100,574.3,ENTRY,82595.28920965803,82589.85747775447,82659.24,82599.79,,
8.1,2026-02-20,10:22:00,CE,Sell,82700,100,644.05,EXIT,82695.80424337661,82649.61713734636,82774.8,82723.94,6975.0,Target Hit
9,2026-02-20,10:22:00,CE,Buy,82800,100,588.25,ENTRY,82695.80424337661,82649.61713734636,82774.8,82723.94,,
9.1,2026-02-20,13:35:00,CE,Sell,82800,100,669.45,EXIT,82856.55723461174,82821.8140283933,82941.74,82885.96,8120.000000000005,Target Hit
10,2026-02-20,13:35:00,CE,Buy,82900,100,610.9,ENTRY,82856.55723461174,82821.8140283933,82941.74,82885.96,,
